match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version
3869254,2022-12-06,21:00:00.000,International - FIFA World Cup,2022,Portugal,Switzerland,6,1,available,available,2023-01-13T17:25:21.619928,2023-01-14T15:08:46.172894,4,Round of 16,Lusail Stadium,César Arturo Ramos Palazuelos,Fernando Manuel Fernandes da Costa Santos,Murat Yakin,1.1.0,2,2
3869118,2022-12-04,21:00:00.000,International - FIFA World Cup,2022,England,Senegal,3,0,available,available,2023-01-03T01:20:49.323103,2022-12-13T21:39:52.223504,4,Round of 16,Al Bayt Stadium,Ivan Arcides Barton Cisneros,Gareth Southgate,Aliou Cissé,1.1.0,2,2
3869486,2022-12-10,17:00:00.000,International - FIFA World Cup,2022,Morocco,Portugal,1,0,available,available,2022-12-29T18:25:49.212042,2023-01-04T12:36:10.102347,5,Quarter-finals,Al Thumama Stadium,Facundo Tello Figueroa,Hoalid Regragui,Fernando Manuel Fernandes da Costa Santos,1.1.0,2,2
3869685,2022-12-18,17:00:00.000,International - FIFA World Cup,2022,Argentina,France,3,3,available,available,2022-12-20T17:24:54.639827,2022-12-21T16:02:21.075183,7,Final,Lusail Stadium,Szymon Marciniak,Lionel Sebastián Scaloni,Didier Deschamps,1.1.0,2,2
3869684,2022-12-17,17:00:00.000,International - FIFA World Cup,2022,Croatia,Morocco,2,1,available,available,2022-12-19T09:08:48.448099,2022-12-18T21:30:47.341680,7,3rd Place Final,Sheikh Khalifa International Stadium,Abdulrahman Ibrahim Al Jassim,Zlatko Dalić,Hoalid Regragui,1.1.0,2,2
3869519,2022-12-13,21:00:00.000,International - FIFA World Cup,2022,Argentina,Croatia,3,0,available,available,2022-12-18T10:00:44.895882,2023-01-06T16:04:31.976337,6,Semi-finals,Lusail Stadium,Daniele Orsato,Lionel Sebastián Scaloni,Zlatko Dalić,1.1.0,2,2
3869354,2022-12-10,21:00:00.000,International - FIFA World Cup,2022,England,France,1,2,available,available,2022-12-11T12:20:35.394989,2022-12-11T20:56:48.694779,5,Quarter-finals,Al Bayt Stadium,Wilton Pereira Sampaio,Gareth Southgate,Didier Deschamps,1.1.0,2,2
3869552,2022-12-14,21:00:00.000,International - FIFA World Cup,2022,France,Morocco,2,0,available,available,2022-12-23T03:54:26.551711,2022-12-27T17:55:43.268069,6,Semi-finals,Al Bayt Stadium,César Arturo Ramos Palazuelos,Didier Deschamps,Hoalid Regragui,1.1.0,2,2
3869420,2022-12-09,17:00:00.000,International - FIFA World Cup,2022,Croatia,Brazil,1,1,available,available,2022-12-11T05:22:38.756828,2022-12-10T20:00:10.189509,5,Quarter-finals,Education City Stadium ,Michael Oliver,Zlatko Dalić,Telê Santana da Silva,1.1.0,2,2
3869321,2022-12-09,21:00:00.000,International - FIFA World Cup,2022,Netherlands,Argentina,2,2,available,available,2023-01-11T14:24:29.474560,2022-12-21T16:00:52.544228,5,Quarter-finals,Lusail Stadium,Antonio Miguel Mateu Lahoz,Louis van Gaal,Lionel Sebastián Scaloni,1.1.0,2,2
3869220,2022-12-06,17:00:00.000,International - FIFA World Cup,2022,Morocco,Spain,0,0,available,available,2022-12-18T09:58:37.718583,2023-01-14T10:34:30.110784,4,Round of 16,Education City Stadium ,Fernando Andrés Rapallini,Hoalid Regragui,Luis Enrique Martínez García,1.1.0,2,2
3869219,2022-12-05,17:00:00.000,International - FIFA World Cup,2022,Japan,Croatia,1,1,available,available,2023-01-22T04:25:02.529369,2022-12-20T19:20:00.556737,4,Round of 16,Al Janoub Stadium   ,Ismail Elfath,Hajime Moriyasu,Zlatko Dalić,1.1.0,2,2
3869253,2022-12-05,21:00:00.000,International - FIFA World Cup,2022,Brazil,South Korea,4,1,available,available,2022-12-18T09:56:06.242646,2022-12-06T14:00:20.761769,4,Round of 16,Stadium 974,Clément Turpin,Adenor Leonardo Bacchi,Paulo Jorge Gomes Bento,1.1.0,2,2
