,index,team,player,location
0,0,England,,
1,3,England,,
2,5,England,,
3,15,England,Philip Foden,"[39.8, 7.5]"
4,16,England,Declan Rice,"[15.9, 20.5]"
5,17,England,Jordan Pickford,"[2.7, 32.8]"
6,26,England,Declan Rice,"[64.1, 10.6]"
7,27,England,Luke Shaw,"[67.0, 0.1]"
8,28,England,Harry Maguire,"[41.2, 20.7]"
9,29,England,John Stones,"[27.7, 45.1]"
10,30,England,Jordan Pickford,"[14.7, 30.6]"
11,31,England,John Stones,"[22.2, 54.9]"
12,32,England,Kyle Walker,"[37.8, 73.0]"
13,33,England,Harry Maguire,"[34.2, 9.2]"
14,34,England,Luke Shaw,"[44.8, 3.1]"
15,35,England,Philip Foden,"[51.3, 2.7]"
16,36,England,Harry Maguire,"[24.1, 19.8]"
17,37,England,Jude Bellingham,"[38.1, 5.8]"
18,38,England,Harry Maguire,"[32.1, 17.6]"
19,39,England,Jude Bellingham,"[38.8, 3.4]"
20,40,England,Luke Shaw,"[57.3, 2.2]"
21,48,England,Jordan Brian Henderson,"[89.4, 2.7]"
22,49,England,Luke Shaw,"[92.0, 0.1]"
23,50,England,Harry Kane,"[95.6, 15.4]"
24,51,England,Jordan Brian Henderson,"[103.6, 24.8]"
25,55,England,Jordan Pickford,"[13.0, 44.8]"
26,56,England,John Stones,"[21.5, 50.8]"
27,57,England,Harry Maguire,"[39.3, 11.3]"
28,58,England,Luke Shaw,"[53.7, 2.4]"
29,59,England,Philip Foden,"[68.9, 2.4]"
30,61,England,Jordan Pickford,"[4.8, 35.7]"
31,62,England,John Stones,"[23.6, 51.8]"
32,63,England,Kyle Walker,"[32.8, 74.7]"
33,64,England,Bukayo Saka,"[46.0, 59.5]"
34,65,England,Harry Maguire,"[61.2, 3.9]"
35,66,England,Philip Foden,"[74.9, 6.5]"
36,67,England,Luke Shaw,"[73.0, 1.7]"
37,68,England,Jordan Pickford,"[24.6, 14.5]"
38,69,England,John Stones,"[31.8, 36.9]"
39,70,England,Kyle Walker,"[34.9, 71.1]"
40,71,England,Bukayo Saka,"[46.3, 72.8]"
41,72,England,Jordan Brian Henderson,"[43.9, 59.7]"
42,73,England,Bukayo Saka,"[38.1, 69.9]"
43,74,England,John Stones,"[19.8, 52.8]"
44,75,England,Harry Maguire,"[39.0, 4.8]"
45,76,England,Harry Maguire,"[42.6, 14.9]"
46,77,England,Luke Shaw,"[50.1, 4.3]"
47,78,England,Declan Rice,"[53.7, 10.4]"
48,79,England,Harry Maguire,"[23.9, 14.2]"
49,80,England,Jordan Pickford,"[14.9, 40.5]"
50,81,England,John Stones,"[25.1, 51.8]"
51,82,England,Declan Rice,"[34.2, 48.9]"
52,83,England,Kyle Walker,"[23.6, 73.7]"
53,84,England,John Stones,"[4.3, 70.1]"
54,85,England,Jordan Brian Henderson,"[38.1, 67.7]"
55,86,England,Harry Kane,"[57.3, 73.7]"
56,89,England,Jordan Brian Henderson,"[83.6, 24.8]"
57,90,England,Kyle Walker,"[81.2, 50.6]"
58,91,England,Declan Rice,"[116.1, 20.7]"
59,92,England,Kyle Walker,"[82.4, 34.7]"
60,93,England,Philip Foden,"[97.1, 27.9]"
61,99,England,Jordan Pickford,"[12.1, 32.5]"
62,100,England,John Stones,"[31.6, 29.4]"
63,101,England,Harry Maguire,"[36.9, 6.5]"
64,102,England,Jude Bellingham,"[57.8, 8.2]"
65,103,England,Luke Shaw,"[55.9, 1.7]"
66,104,England,Harry Kane,"[76.2, 12.8]"
67,105,England,Jude Bellingham,"[111.3, 9.2]"
68,106,England,Bukayo Saka,"[103.4, 74.0]"
69,107,England,Kyle Walker,"[86.3, 73.0]"
70,108,England,Declan Rice,"[56.1, 52.5]"
71,109,England,John Stones,"[45.8, 43.6]"
72,110,England,Harry Maguire,"[31.8, 24.3]"
73,111,England,Luke Shaw,"[39.0, 4.8]"
74,112,England,Harry Maguire,"[34.0, 13.5]"
75,115,England,Jude Bellingham,"[52.0, 7.2]"
76,116,England,Luke Shaw,"[53.2, 3.1]"
77,117,England,Harry Maguire,"[52.3, 6.5]"
78,118,England,Luke Shaw,"[87.0, 8.7]"
79,119,England,Philip Foden,"[89.4, 2.7]"
80,120,England,Harry Kane,"[81.2, 6.7]"
81,121,England,Bukayo Saka,"[94.2, 72.3]"
82,122,England,Kyle Walker,"[74.4, 66.0]"
83,123,England,John Stones,"[59.0, 41.4]"
84,124,England,Jordan Brian Henderson,"[92.3, 72.0]"
85,125,England,Jude Bellingham,"[87.2, 41.9]"
86,126,England,Kyle Walker,"[73.5, 53.5]"
87,127,England,Harry Maguire,"[78.1, 22.4]"
88,128,England,Philip Foden,"[93.0, 3.1]"
89,129,England,Harry Maguire,"[74.0, 15.7]"
90,130,England,John Stones,"[61.0, 40.0]"
91,131,England,Kyle Walker,"[63.8, 53.0]"
92,132,England,John Stones,"[56.4, 39.0]"
93,133,England,Declan Rice,"[67.2, 38.1]"
94,134,England,Kyle Walker,"[57.8, 52.0]"
95,135,England,Bukayo Saka,"[71.8, 74.2]"
96,136,England,Kyle Walker,"[43.9, 67.7]"
97,137,England,John Stones,"[44.1, 45.5]"
98,138,England,Jordan Brian Henderson,"[61.2, 51.6]"
99,139,England,Kyle Walker,"[45.1, 58.5]"
100,140,England,Bukayo Saka,"[114.2, 66.0]"
101,141,England,Luke Shaw,"[91.6, 7.7]"
102,142,England,Jude Bellingham,"[90.6, 7.2]"
103,143,England,Philip Foden,"[96.1, 10.6]"
104,146,England,Harry Maguire,"[71.1, 2.4]"
105,147,England,Harry Kane,"[110.6, 11.6]"
106,149,England,John Stones,"[74.2, 74.9]"
107,152,England,Bukayo Saka,"[78.3, 66.2]"
108,153,England,Harry Kane,"[84.6, 63.8]"
109,154,England,Jordan Brian Henderson,"[95.6, 74.9]"
110,158,England,Harry Maguire,"[38.1, 13.7]"
111,159,England,Declan Rice,"[41.9, 18.3]"
112,160,England,John Stones,"[25.5, 27.9]"
113,161,England,Jordan Pickford,"[7.7, 31.8]"
114,162,England,Harry Kane,"[62.9, 9.9]"
115,166,England,Luke Shaw,"[107.2, 0.1]"
116,167,England,Harry Kane,"[102.4, 11.6]"
117,168,England,Philip Foden,"[106.5, 5.5]"
118,169,England,Luke Shaw,"[96.4, 3.1]"
119,170,England,Philip Foden,"[104.3, 3.1]"
120,171,England,Harry Kane,"[100.0, 16.4]"
121,175,England,John Stones,"[42.9, 54.0]"
122,177,England,Kyle Walker,"[57.1, 80.0]"
123,178,England,John Stones,"[24.6, 67.2]"
124,179,England,Jordan Pickford,"[10.6, 33.5]"
125,180,England,Luke Shaw,"[62.2, 4.6]"
126,181,England,Harry Maguire,"[39.3, 9.2]"
127,182,England,John Stones,"[37.1, 38.5]"
128,183,England,Kyle Walker,"[45.3, 55.9]"
129,184,England,Harry Maguire,"[49.6, 6.7]"
130,185,England,Luke Shaw,"[57.3, 1.4]"
131,186,England,Declan Rice,"[67.2, 4.3]"
132,187,England,Philip Foden,"[77.1, 9.9]"
133,188,England,Luke Shaw,"[94.2, 2.4]"
134,192,England,Declan Rice,"[20.0, 14.7]"
135,193,England,John Stones,"[7.9, 24.8]"
136,194,England,Jordan Pickford,"[6.0, 36.0]"
137,195,England,John Stones,"[14.9, 47.0]"
138,196,England,Declan Rice,"[30.8, 32.5]"
139,197,England,John Stones,"[27.0, 50.8]"
140,198,England,Kyle Walker,"[36.1, 65.8]"
141,199,England,Bukayo Saka,"[54.9, 71.1]"
142,201,England,Declan Rice,"[29.2, 55.9]"
143,202,England,Jordan Pickford,"[9.4, 43.1]"
144,203,England,Jude Bellingham,"[37.6, 40.7]"
145,204,England,Kyle Walker,"[9.6, 75.6]"
146,205,England,John Stones,"[18.8, 39.8]"
147,206,England,Jordan Brian Henderson,"[27.5, 46.5]"
148,207,England,John Stones,"[14.7, 35.7]"
149,208,England,Harry Maguire,"[26.0, 7.2]"
150,209,England,John Stones,"[37.8, 53.7]"
151,210,England,Kyle Walker,"[31.8, 63.8]"
152,211,England,Jordan Pickford,"[25.1, 32.5]"
153,212,England,Harry Maguire,"[33.0, 16.9]"
154,213,England,John Stones,"[36.1, 45.5]"
155,214,England,Kyle Walker,"[45.3, 64.8]"
156,215,England,Harry Maguire,"[62.2, 15.9]"
157,216,England,Jude Bellingham,"[56.4, 1.7]"
158,217,England,Philip Foden,"[69.4, 2.2]"
159,218,England,Jude Bellingham,"[51.1, 3.6]"
160,219,England,John Stones,"[43.6, 32.5]"
161,220,England,Kyle Walker,"[49.6, 52.8]"
162,226,England,Kyle Walker,"[74.9, 74.9]"
